counterparty;country;industry;exposure;pd_th
55;20010;20069;532.93661121279;-3.03884551754563
56;20008;20060;671.406240202487;-2.80832461598966
57;20049;20073;867.011385927808;-2.64047950450334
58;20036;20055;1363.72073549302;-3.39240481042436
59;20024;20058;180.074571166188;-2.64047950450334
60;20003;20062;959.08522229166;-3.14869725402409
61;20001;20055;3396.09773440247;-3.39240481042436
62;20031;20052;2202.20316002581;-3.17900331703147
63;20032;20073;651.362281292677;-2.14095156714714
64;20021;20054;108.467824291438;-3.20906237282333
65;20026;20051;630.792346782982;-2.64047950450334
66;20018;20058;286.288629751652;-2.14095156714714
67;20005;20068;747.893048408342;-3.23888011835298
68;20008;20067;1749.2856568748;-2.92550142591559
69;20004;20063;224.395738701926;-2.14095156714714
70;20024;20054;425.503027625382;-2.14095156714714
71;20010;20077;1512.67485657369;-2.80832461598966
72;20033;20056;667.844399809837;-2.64047950450334
73;20002;20068;2374.73254079435;-3.39240481042436
74;20049;20060;1128.85251637073;-2.27543246002579
75;20042;20063;1192.81149278851;-2.46338973862845
76;20050;20061;112.039356196554;-2.14095156714714
77;20022;20077;3049.53852279072;-3.14869725402409
78;20041;20060;393.572845030576;-2.80832461598966
79;20003;20063;956.863783257914;-3.14869725402409
80;20047;20053;1722.03302193887;-3.20906237282333
81;20032;20080;1857.1085500622;-3.54008379920615
82;20044;20052;518.262063618749;-2.80832461598966
83;20028;20075;241.828499310091;-2.27543246002579
84;20012;20061;1949.08854356947;-3.39240481042436
85;20020;20063;727.089235816643;-3.17900331703147
86;20029;20076;164.164605084807;-3.03884551754563
87;20027;20067;2222.19820121739;-3.54008379920615
88;20033;20078;499.361361376941;-2.80832461598966
89;20012;20061;634.301544632763;-3.17900331703147
90;20047;20073;23.6075362190604;-2.27543246002579
91;20016;20059;301.560469903052;-3.14869725402409
92;20008;20078;262.97693932429;-2.14095156714714
93;20022;20057;504.344739748917;-2.64047950450334
94;20012;20079;88.8628913089633;-2.80832461598966
95;20002;20067;396.14042500034;-2.46338973862845
96;20009;20068;214.154299348593;-2.27543246002579
97;20016;20055;398.089947069936;-2.46338973862845
98;20032;20064;18.9852056967622;-2.92550142591559
99;20010;20051;2891.63756613111;-2.92550142591559
100;20012;20065;332.138048983615;-2.46338973862845
101;20032;20055;1505.43149439783;-3.54008379920615
102;20024;20072;3494.32137688452;-2.92550142591559
103;20049;20063;1777.89659417214;-3.20906237282333
104;20002;20073;2835.06868582957;-2.64047950450334
105;20034;20053;581.445541232824;-2.92550142591559
106;20044;20070;3358.96266980057;-2.92550142591559
107;20004;20073;1373.52388999881;-3.03884551754563
108;20043;20072;578.426760621369;-3.39240481042436
109;20040;20053;363.96152385523;-2.80832461598966
110;20037;20079;2477.61656890128;-3.39240481042436
111;20007;20072;1761.84924683514;-3.23888011835298
112;20022;20071;158.461715718354;-2.92550142591559
113;20040;20065;1712.97165743055;-3.20906237282333
114;20023;20076;1499.69791591511;-3.54008379920615
115;20023;20053;1122.75587483765;-3.20906237282333
116;20036;20067;545.38860777393;-2.27543246002579
117;20014;20067;148.159434553236;-3.23888011835298
118;20023;20073;155.176474712789;-3.17900331703147
119;20047;20056;1562.11860283258;-3.23888011835298
120;20030;20079;242.380356881768;-2.80832461598966
121;20028;20076;4400.60025786612;-2.46338973862845
122;20004;20058;901.768772820842;-2.27543246002579
123;20029;20062;848.904273430717;-3.54008379920615
124;20011;20054;672.509255353361;-2.64047950450334
125;20038;20052;2926.78921652918;-2.46338973862845
126;20046;20076;2260.64811928643;-2.46338973862845
127;20010;20077;1530.60885137858;-3.14869725402409
128;20042;20070;300.558079499751;-3.03884551754563
129;20018;20054;374.661949463189;-3.20906237282333
130;20004;20076;1811.89420065823;-3.20906237282333
131;20005;20051;523.936132900417;-2.27543246002579
132;20042;20074;2304.75650221489;-3.03884551754563
133;20019;20058;242.060351185501;-3.20906237282333
134;20044;20079;811.506153290953;-3.17900331703147
135;20024;20063;238.713530823588;-3.17900331703147
136;20015;20066;1419.64139719928;-2.80832461598966
137;20014;20078;87.2338437475264;-2.27543246002579
138;20016;20066;516.30200818181;-3.23888011835298
139;20033;20070;1559.75035227352;-3.54008379920615
140;20027;20065;1396.44752873948;-2.80832461598966
141;20027;20054;682.255784980953;-3.03884551754563
142;20010;20075;826.46124619515;-2.14095156714714
143;20049;20078;833.973571345553;-2.92550142591559
144;20048;20055;493.470416404307;-3.03884551754563
145;20004;20070;7.14004905265538;-2.80832461598966
146;20046;20065;61.757485214458;-3.39240481042436
147;20003;20054;817.012520464969;-2.46338973862845
148;20043;20067;274.006477525196;-3.03884551754563
149;20042;20058;631.371018011123;-3.20906237282333
150;20028;20078;765.694711315346;-2.80832461598966
151;20023;20068;799.94088208783;-3.54008379920615
152;20039;20054;1945.8300321454;-3.03884551754563
153;20048;20058;1457.72543168607;-2.46338973862845
154;20025;20061;989.608353766141;-3.14869725402409
155;20016;20063;1301.76350097628;-2.80832461598966
156;20017;20062;49.0523334592581;-3.54008379920615
157;20001;20053;582.013894338161;-2.46338973862845
158;20012;20078;3287.1228007782;-2.27543246002579
159;20032;20070;157.218183856457;-2.64047950450334
160;20033;20067;389.550349209458;-3.20906237282333
161;20028;20068;1966.24152912738;-3.03884551754563
162;20019;20060;67.3740073107183;-3.17900331703147
163;20025;20051;79.4898545577302;-3.39240481042436
164;20010;20063;878.336672228777;-3.23888011835298
165;20009;20077;2219.91805905912;-2.80832461598966
166;20044;20072;944.64355313611;-2.27543246002579
167;20002;20061;157.640585675836;-3.17900331703147
168;20047;20051;186.551845166832;-2.14095156714714
169;20047;20064;1153.59439976038;-2.27543246002579
170;20030;20069;447.72607833147;-2.46338973862845
171;20017;20056;239.415043499321;-3.20906237282333
172;20046;20063;55.2564193494618;-3.39240481042436
173;20026;20060;215.68865980953;-2.46338973862845
174;20017;20074;1284.31431758673;-3.03884551754563
175;20037;20060;532.865349669009;-3.54008379920615
176;20022;20071;639.286518562585;-3.39240481042436
177;20010;20061;1064.51415918292;-3.39240481042436
178;20012;20077;2936.79095087039;-3.54008379920615
179;20004;20057;147.878736605258;-2.46338973862845
180;20012;20070;427.081974223256;-3.03884551754563
181;20034;20054;339.392216876149;-3.03884551754563
182;20029;20073;133.232343476266;-3.17900331703147
183;20047;20061;124.588778242469;-2.92550142591559
184;20037;20057;919.968940275622;-2.64047950450334
185;20039;20058;229.661150369793;-2.46338973862845
186;20043;20073;4211.29248760989;-2.80832461598966
187;20041;20077;1044.69301733644;-3.23888011835298
188;20016;20068;412.034323439002;-3.23888011835298
189;20043;20059;8.46384977921844;-3.20906237282333
190;20020;20058;178.031877212978;-3.54008379920615
191;20048;20054;98.299462868958;-2.80832461598966
192;20015;20079;481.72306176275;-2.80832461598966
193;20015;20070;148.165044236914;-3.17900331703147
194;20021;20059;1667.47537805679;-2.27543246002579
195;20017;20058;224.077001679689;-2.27543246002579
196;20022;20068;1417.24887481871;-3.39240481042436
197;20003;20061;5065.71649171808;-2.27543246002579
198;20016;20062;68.3915922010173;-3.23888011835298
199;20042;20069;561.761296819896;-2.64047950450334
200;20038;20072;2040.84671853982;-3.20906237282333
201;20026;20077;3636.42824233925;-2.64047950450334
202;20048;20076;2471.89600566838;-3.17900331703147
203;20003;20051;182.557205103188;-3.14869725402409
204;20008;20073;13.1830819882452;-3.39240481042436
205;20041;20054;2467.03159237716;-3.14869725402409
206;20022;20078;603.201425634325;-3.03884551754563
207;20027;20057;1430.63543728533;-2.46338973862845
208;20011;20061;2323.79075313423;-3.03884551754563
209;20010;20066;1592.98898995987;-3.14869725402409
210;20017;20062;433.976379688829;-2.92550142591559
211;20023;20064;645.833999849856;-3.14869725402409
212;20023;20078;3582.40673483765;-2.64047950450334
213;20010;20067;1519.88113104346;-2.80832461598966
214;20028;20079;2193.43535403225;-2.92550142591559
215;20001;20056;275.69467201829;-3.14869725402409
216;20008;20055;130.619675852358;-3.03884551754563
217;20035;20072;938.377853440952;-2.27543246002579
218;20020;20071;230.181636754423;-3.03884551754563
219;20022;20066;517.349843401462;-2.64047950450334
220;20029;20066;353.765961714089;-3.54008379920615
221;20004;20062;1467.51688847473;-2.27543246002579
222;20026;20054;2551.01704771135;-3.17900331703147
223;20034;20056;935.487879398179;-2.64047950450334
224;20017;20056;194.62377304054;-3.17900331703147
225;20030;20074;940.640738191915;-2.14095156714714
226;20030;20068;288.216381154248;-2.80832461598966
227;20012;20078;923.679433721018;-3.14869725402409
228;20023;20075;205.19539139291;-2.64047950450334
229;20047;20058;870.450460309994;-2.27543246002579
230;20025;20073;219.666019760085;-2.27543246002579
231;20050;20071;1346.48891813577;-3.14869725402409
232;20022;20074;3063.44532204752;-2.64047950450334
233;20035;20076;802.316642208264;-3.17900331703147
234;20022;20062;244.353287387639;-2.64047950450334
235;20039;20054;1589.75356436315;-3.03884551754563
236;20023;20055;4351.27559944315;-3.20906237282333
237;20045;20064;4066.17944480336;-3.39240481042436
238;20009;20069;92.4795537403492;-3.39240481042436
239;20033;20060;1624.87819223645;-3.39240481042436
240;20047;20072;624.066732358187;-3.14869725402409
241;20042;20069;1350.88890507342;-2.92550142591559
242;20034;20057;6.45061185903133;-3.17900331703147
243;20039;20057;1051.19396202431;-2.92550142591559
244;20043;20077;462.09897659719;-3.20906237282333
245;20008;20071;295.731576625258;-2.46338973862845
246;20023;20079;2967.86574257498;-2.27543246002579
247;20044;20051;2169.27921573136;-3.39240481042436
248;20012;20052;1628.12900162282;-2.92550142591559
249;20007;20062;1707.76941246333;-2.92550142591559
250;20019;20066;166.066237725317;-3.23888011835298
251;20031;20063;2220.29642934415;-3.17900331703147
252;20008;20075;5256.11810543039;-3.20906237282333
253;20049;20069;5848.8548841692;-2.46338973862845
254;20017;20051;496.486741583794;-3.54008379920615
255;20004;20054;33.5479066707194;-3.14869725402409
256;20046;20059;1134.25575471939;-3.23888011835298
257;20019;20059;1982.99565530362;-3.14869725402409
258;20001;20069;976.712514604342;-2.46338973862845
259;20003;20066;94.1854175180197;-3.03884551754563
260;20026;20055;1757.50861308517;-2.64047950450334
261;20018;20073;778.444196986866;-3.54008379920615
262;20017;20055;3734.91643906987;-3.14869725402409
263;20049;20054;4704.86058642097;-2.27543246002579
264;20003;20058;2360.22672860729;-3.39240481042436
265;20017;20076;1788.56752862646;-3.23888011835298
266;20013;20072;204.893334303051;-3.39240481042436
267;20034;20059;448.457744903862;-3.39240481042436
268;20050;20051;1221.84364214064;-3.54008379920615
269;20049;20071;1539.82882332491;-3.14869725402409
270;20012;20078;682.882812805474;-2.14095156714714
271;20018;20072;2188.98499185655;-3.39240481042436
272;20022;20051;980.652978601766;-3.20906237282333
273;20002;20067;35.8208240941167;-2.46338973862845
274;20044;20068;383.755779038213;-3.23888011835298
275;20022;20077;1560.88267258348;-3.39240481042436
276;20009;20063;1841.87212386451;-3.14869725402409
277;20019;20052;1678.29777664485;-2.27543246002579
278;20032;20063;2826.54499990826;-3.14869725402409
279;20038;20069;18.5053484343614;-2.27543246002579
280;20043;20074;237.510207747868;-3.23888011835298
281;20029;20077;1160.54846062781;-3.03884551754563
282;20021;20053;1434.06060640352;-3.14869725402409
283;20032;20072;216.867533512414;-3.20906237282333
284;20021;20052;529.334726969122;-2.92550142591559
285;20046;20053;120.703499298543;-2.27543246002579
286;20013;20061;1015.06803273679;-2.46338973862845
287;20025;20056;1493.02758586235;-2.92550142591559
288;20035;20078;3434.76457877045;-3.54008379920615
289;20027;20055;1247.26372673632;-2.27543246002579
290;20046;20078;570.668639149517;-2.27543246002579
291;20002;20054;875.320633831334;-3.20906237282333
292;20026;20053;5.75882391832676;-3.17900331703147
293;20047;20059;226.963269524276;-2.80832461598966
294;20043;20073;2463.84697581146;-2.46338973862845
295;20006;20064;1347.46206268193;-2.46338973862845
296;20014;20079;4833.1346993608;-3.54008379920615
297;20038;20055;125.424786688521;-3.54008379920615
298;20024;20070;131.22465991851;-2.92550142591559
299;20002;20070;1476.27337196561;-3.23888011835298
300;20019;20070;1084.48685184176;-2.27543246002579
301;20039;20059;1443.96800353172;-3.54008379920615
302;20040;20069;2904.18931077165;-3.03884551754563
303;20030;20055;235.875140875578;-2.80832461598966
304;20030;20076;512.448327615857;-3.54008379920615
305;20040;20068;1111.98254808078;-2.14095156714714
306;20021;20056;219.049252104014;-2.92550142591559
307;20002;20069;105.231483877245;-2.92550142591559
308;20018;20080;423.594966065139;-3.23888011835298
309;20013;20056;121.815526989481;-2.64047950450334
310;20019;20056;1374.26560833575;-3.20906237282333
311;20039;20075;1280.78038574208;-3.39240481042436
312;20016;20059;602.341232821345;-3.03884551754563
313;20022;20079;1200.6313567561;-2.64047950450334
314;20027;20056;260.789475403726;-2.64047950450334
315;20030;20080;852.314487057638;-2.46338973862845
316;20028;20080;1879.97836424949;-3.20906237282333
317;20002;20067;253.193850629032;-2.27543246002579
318;20031;20070;529.973633121699;-3.14869725402409
319;20028;20078;684.351790696383;-3.14869725402409
320;20046;20072;4365.24788572923;-3.14869725402409
321;20001;20052;1965.49791461768;-2.14095156714714
322;20018;20079;1281.59488267721;-2.80832461598966
323;20046;20062;568.582716863602;-2.92550142591559
324;20038;20074;204.042986133145;-2.64047950450334
325;20033;20062;512.095359154046;-3.17900331703147
326;20016;20062;3091.12057073002;-2.46338973862845
327;20042;20064;1559.44216056707;-3.14869725402409
328;20037;20077;733.0417073843;-2.46338973862845
329;20014;20055;713.528262971734;-3.23888011835298
330;20031;20066;287.755116677712;-3.17900331703147
331;20022;20075;83.1102393567562;-3.54008379920615
332;20034;20073;373.349302448332;-2.64047950450334
333;20021;20059;65.1423053751463;-3.03884551754563
334;20030;20080;1186.785899992;-3.39240481042436
335;20011;20071;787.30574741396;-2.46338973862845
336;20031;20061;1041.2851711315;-3.17900331703147
337;20006;20061;548.472177702934;-3.39240481042436
338;20003;20055;212.011102121323;-2.14095156714714
339;20006;20053;1009.03084812674;-2.80832461598966
340;20031;20079;1938.50023477318;-2.14095156714714
341;20012;20079;821.39693131543;-3.03884551754563
342;20010;20061;1244.67086694659;-3.14869725402409
343;20021;20052;4384.95240340988;-2.27543246002579
344;20028;20071;598.767985124141;-3.39240481042436
345;20011;20080;777.359484652889;-3.54008379920615
346;20014;20056;840.157233166594;-3.20906237282333
347;20014;20071;354.314105585217;-3.03884551754563
348;20024;20080;1076.26273316276;-3.03884551754563
349;20038;20055;673.083200119436;-3.23888011835298
350;20014;20075;365.193104371428;-3.54008379920615
351;20041;20063;96.8154044821858;-2.27543246002579
352;20024;20051;926.637328187835;-2.92550142591559
353;20033;20058;2046.78730099442;-3.39240481042436
354;20050;20079;1153.04724495382;-3.03884551754563
355;20039;20076;795.783113660761;-2.80832461598966
356;20007;20062;76.7311234272352;-3.17900331703147
357;20007;20069;1588.66388714852;-3.03884551754563
358;20029;20078;704.791557933104;-2.14095156714714
359;20023;20073;2102.3855897269;-2.64047950450334
360;20040;20051;900.522400583041;-2.46338973862845
361;20025;20076;162.497563873012;-2.46338973862845
362;20019;20072;1414.20084209985;-2.46338973862845
363;20048;20079;1512.55704640391;-3.20906237282333
364;20044;20078;849.76666695894;-3.20906237282333
365;20029;20058;107.333154417574;-2.46338973862845
366;20026;20076;221.381075680256;-2.27543246002579
367;20049;20053;121.463375166059;-2.46338973862845
368;20026;20073;202.596353832632;-3.54008379920615
369;20024;20065;2034.69479448142;-3.39240481042436
370;20018;20063;935.243390458536;-3.23888011835298
371;20032;20078;456.276207230985;-2.64047950450334
372;20012;20058;1273.02029072763;-2.64047950450334
373;20045;20062;927.520752232176;-2.46338973862845
374;20010;20063;1045.91718870671;-3.14869725402409
375;20020;20069;1904.04376379194;-2.92550142591559
376;20047;20077;713.563715997052;-3.20906237282333
377;20026;20069;592.960997018963;-2.27543246002579
378;20002;20060;38.3429241128359;-3.39240481042436
379;20031;20052;1713.25024109906;-3.23888011835298
380;20034;20080;19.1494073008293;-2.80832461598966
381;20037;20062;217.990395613015;-3.54008379920615
382;20031;20053;137.501286153032;-2.27543246002579
383;20042;20064;2373.82826010201;-2.80832461598966
384;20039;20051;96.3996002463797;-3.20906237282333
385;20015;20071;1357.64167267354;-3.39240481042436
386;20039;20067;2795.05994190074;-2.64047950450334
387;20002;20076;786.898408974421;-3.03884551754563
388;20015;20073;254.049566574395;-3.17900331703147
389;20002;20051;2411.51925350044;-2.46338973862845
390;20019;20055;29.1196433827281;-3.39240481042436
391;20002;20077;145.8766482777;-2.80832461598966
392;20031;20053;253.46797471866;-2.14095156714714
393;20014;20076;963.799697975667;-3.39240481042436
394;20043;20068;472.981279250234;-2.80832461598966
395;20019;20074;118.42666540298;-2.92550142591559
396;20007;20060;1453.3292486767;-3.39240481042436
397;20049;20069;324.491976294667;-3.54008379920615
398;20024;20068;4776.17566634841;-2.80832461598966
399;20025;20068;3571.83611586363;-3.39240481042436
400;20023;20057;1352.39481269838;-3.23888011835298
401;20018;20072;595.285985153168;-3.20906237282333
402;20028;20070;64.3233810551465;-3.20906237282333
403;20010;20073;611.78701491394;-2.46338973862845
404;20014;20075;2897.65708606087;-2.27543246002579
405;20038;20067;865.128301973355;-2.27543246002579
406;20019;20073;355.033792089671;-2.92550142591559
407;20001;20078;129.016098015613;-3.20906237282333
408;20041;20061;486.92872857682;-2.46338973862845
409;20029;20069;0.48090610653162;-3.14869725402409
410;20003;20054;189.937325660139;-3.20906237282333
411;20009;20068;1168.06485685976;-2.64047950450334
412;20001;20052;536.365677602589;-3.39240481042436
413;20020;20064;111.89929259802;-3.20906237282333
414;20030;20064;1068.11962359084;-3.14869725402409
415;20020;20053;1009.29353754492;-2.92550142591559
416;20048;20065;1622.05921850147;-2.92550142591559
417;20036;20064;406.593778170645;-2.64047950450334
418;20020;20077;752.523355143976;-3.17900331703147
419;20044;20069;1419.78641218486;-2.14095156714714
420;20023;20053;1270.53061682255;-2.92550142591559
421;20005;20074;2736.7099727175;-2.80832461598966
422;20042;20068;114.611173239141;-3.54008379920615
423;20030;20062;303.891422227025;-3.39240481042436
424;20002;20067;138.213247654533;-3.54008379920615
425;20018;20059;468.370881397277;-3.20906237282333
426;20013;20075;2562.85935441468;-2.92550142591559
427;20030;20080;65.2742214063072;-3.17900331703147
428;20008;20062;1741.68742625954;-3.39240481042436
429;20012;20065;840.753253507328;-3.14869725402409
430;20003;20080;1067.91254221917;-2.14095156714714
431;20042;20076;701.667610053107;-3.03884551754563
432;20010;20054;848.832595709958;-2.80832461598966
433;20040;20069;1250.4934798506;-2.92550142591559
434;20010;20080;933.991453568351;-3.03884551754563
435;20044;20080;2038.07732640746;-2.14095156714714
436;20014;20064;275.521880947053;-3.23888011835298
437;20032;20074;992.494710679066;-2.64047950450334
438;20009;20055;529.085247311741;-3.14869725402409
439;20039;20055;79.1529511540218;-3.23888011835298
440;20024;20063;345.95763636753;-3.39240481042436
441;20050;20073;254.777448717505;-2.46338973862845
442;20037;20079;1853.77715613154;-3.54008379920615
443;20035;20067;16.8551911203667;-3.17900331703147
444;20012;20069;2883.52705521469;-2.27543246002579
445;20038;20066;332.589642610401;-3.17900331703147
446;20008;20054;1647.23411752822;-3.23888011835298
447;20016;20067;60.769351277471;-3.39240481042436
448;20005;20073;2529.53351882735;-3.39240481042436
449;20031;20065;56.3871019972575;-2.27543246002579
450;20031;20079;1718.04490863326;-3.14869725402409
451;20018;20080;1856.55876054409;-3.20906237282333
452;20030;20058;519.988963380456;-2.27543246002579
453;20005;20057;1148.43994747372;-3.20906237282333
454;20031;20051;3795.88458479798;-2.46338973862845
455;20006;20063;2585.03339240763;-3.03884551754563
456;20020;20061;1148.31433720411;-3.17900331703147
457;20038;20052;561.928247567266;-2.64047950450334
458;20030;20066;1698.23967470768;-3.17900331703147
459;20023;20056;1515.82156485858;-2.46338973862845
460;20047;20066;1103.35206608744;-2.80832461598966
461;20012;20052;481.813683640212;-3.14869725402409
462;20028;20061;245.458114426583;-2.80832461598966
463;20046;20068;461.746610235423;-3.23888011835298
464;20011;20075;2304.1523566647;-3.17900331703147
465;20026;20070;884.093143003893;-2.14095156714714
466;20014;20074;6248.3539097727;-2.46338973862845
467;20023;20067;55.1346568390727;-3.14869725402409
468;20021;20054;964.445847975922;-2.64047950450334
469;20006;20075;3900.12157501137;-2.27543246002579
470;20042;20063;1052.46025505931;-2.80832461598966
471;20004;20075;158.615214750171;-2.92550142591559
472;20026;20078;2478.51218456838;-2.14095156714714
473;20041;20072;310.055719222873;-3.54008379920615
474;20031;20058;2891.23880221924;-2.64047950450334
475;20041;20065;334.333352066168;-2.92550142591559
476;20005;20065;287.035423016155;-3.23888011835298
477;20018;20066;1422.08563155475;-3.14869725402409
478;20032;20060;233.872619012749;-2.92550142591559
479;20031;20080;946.733522543939;-3.39240481042436
480;20025;20059;749.716694301156;-2.46338973862845
481;20035;20056;263.744866001741;-2.80832461598966
482;20009;20070;382.008002457102;-3.14869725402409
483;20030;20067;510.871097445488;-2.80832461598966
484;20041;20054;2006.95538698676;-2.80832461598966
485;20013;20067;3654.52326774651;-2.27543246002579
486;20010;20064;997.982520568085;-3.17900331703147
487;20013;20060;3.52641402036615;-2.27543246002579
488;20021;20051;220.333790250527;-2.46338973862845
489;20040;20073;2019.03069755974;-3.23888011835298
490;20014;20075;963.010756527566;-2.14095156714714
491;20043;20068;1348.86029731007;-3.54008379920615
492;20037;20077;1485.39460825737;-2.92550142591559
493;20017;20057;1015.89364740522;-3.54008379920615
494;20043;20053;1403.30034672263;-3.39240481042436
495;20017;20076;1630.84887670106;-2.46338973862845
496;20019;20069;214.985689613968;-2.92550142591559
497;20046;20077;656.488523818552;-3.54008379920615
498;20039;20064;919.122808570874;-2.14095156714714
499;20020;20068;659.18098622933;-3.54008379920615
500;20007;20079;520.558956544846;-3.03884551754563
501;20003;20066;1550.17069346252;-2.14095156714714
502;20028;20061;511.511729564518;-2.64047950450334
503;20037;20059;351.109163835645;-3.03884551754563
504;20001;20052;155.644697602838;-2.14095156714714
505;20050;20061;827.957937588368;-2.46338973862845
506;20007;20073;228.861873631581;-3.54008379920615
507;20035;20061;547.919732518494;-2.64047950450334
508;20044;20058;2335.4723433635;-3.03884551754563
509;20043;20060;142.069761175662;-2.14095156714714
510;20004;20052;9.9393529817462;-3.39240481042436
511;20034;20065;984.916807432219;-2.46338973862845
512;20007;20079;1750.28166701886;-2.64047950450334
513;20013;20072;688.349260017276;-3.03884551754563
514;20046;20073;437.373190186918;-2.27543246002579
515;20045;20053;1015.94736888529;-2.80832461598966
516;20044;20064;237.569253891706;-3.14869725402409
517;20035;20066;50.4563793355489;-2.64047950450334
518;20026;20063;2719.015462198;-3.20906237282333
519;20030;20066;143.124759425385;-2.27543246002579
520;20036;20076;1325.13846080275;-3.20906237282333
521;20047;20073;3091.93484468346;-3.23888011835298
522;20002;20071;166.218339779379;-3.39240481042436
523;20028;20079;1060.33894625188;-3.20906237282333
524;20005;20065;4750.38777639098;-2.46338973862845
525;20013;20061;1570.61006865444;-3.20906237282333
526;20017;20053;246.503446716815;-2.92550142591559
527;20041;20053;288.114999420941;-3.14869725402409
528;20007;20071;430.208922829479;-2.27543246002579
529;20040;20064;5047.31421329477;-2.14095156714714
530;20021;20074;814.551885197771;-3.14869725402409
531;20040;20073;1548.19368310048;-3.20906237282333
532;20046;20066;241.763323935453;-3.14869725402409
533;20035;20055;292.234422639012;-3.20906237282333
534;20022;20062;470.558766741306;-2.46338973862845
535;20033;20056;794.174364725959;-2.64047950450334
536;20004;20074;1099.77480206163;-2.27543246002579
537;20018;20063;3002.37776531472;-2.46338973862845
538;20033;20067;49.0449010394514;-2.46338973862845
539;20020;20079;650.51551675424;-3.03884551754563
540;20023;20072;824.453388298762;-3.17900331703147
541;20028;20080;651.042142882943;-2.27543246002579
542;20042;20076;261.694508139044;-3.54008379920615
543;20003;20055;6.41467841342092;-3.54008379920615
544;20034;20066;184.953551932332;-3.14869725402409
545;20019;20060;296.163470484316;-3.54008379920615
546;20014;20060;516.338353976607;-3.20906237282333
547;20048;20072;3448.6812276948;-2.92550142591559
548;20039;20075;979.179380419564;-2.80832461598966
549;20002;20060;1753.96765573862;-2.92550142591559
550;20040;20079;940.304111789756;-2.27543246002579
551;20040;20079;2166.7151468477;-3.14869725402409
552;20006;20064;4475.95461121691;-2.80832461598966
553;20044;20077;465.877331793308;-2.27543246002579
554;20029;20070;345.268168589003;-2.80832461598966
555;20044;20076;214.404655154794;-2.46338973862845
556;20037;20073;323.332455009222;-3.17900331703147
557;20048;20060;136.406061371598;-3.14869725402409
558;20037;20072;130.119927732073;-3.14869725402409
559;20001;20061;939.947395684133;-3.20906237282333
560;20033;20054;514.199801136164;-2.27543246002579
561;20012;20058;3377.53936631565;-3.17900331703147
562;20044;20068;518.414577934891;-3.23888011835298
563;20004;20077;364.624812659112;-2.92550142591559
564;20014;20072;1365.99794398518;-3.23888011835298
565;20013;20073;227.40231314674;-2.27543246002579
566;20019;20061;1167.29256134005;-2.46338973862845
567;20030;20070;1300.53164513801;-2.64047950450334
568;20020;20073;1538.71939997301;-2.80832461598966
569;20041;20070;237.033020615252;-3.20906237282333
570;20028;20067;1188.43914036717;-3.14869725402409
